regime,lambda,c,alpha,horizon,regret,regret_per_round,fixed_lambda_regret_limit,normalized_limit
fixed_lambda,0.1,1.6,0.05,16,0.236837369807386,0.014802335612961626,0.4748748598242081,0.0
fixed_lambda,0.1,6.4,0.05,64,0.47095899359864646,0.007358734274978851,0.4748748598242081,0.0
fixed_lambda,0.1,25.6,0.05,256,0.4748748598093844,0.0018549799211304077,0.4748748598242081,0.0
fixed_lambda,0.1,102.4,0.05,1024,0.4748748598242081,0.0004637449802970782,0.4748748598242081,0.0
fixed_lambda,0.1,409.6,0.05,4096,0.4748748598242081,0.00011593624507426955,0.4748748598242081,0.0
fixed_lambda,0.1,1638.4,0.05,16384,0.4748748598242081,2.8984061268567387e-05,0.4748748598242081,0.0
fixed_lambda,0.1,1.6,0.5,16,1.914190002840412,0.11963687517752575,3.203463203463203,0.0
fixed_lambda,0.1,6.4,0.5,64,3.193124791384812,0.04989257486538769,3.203463203463203,0.0
fixed_lambda,0.1,25.6,0.5,256,3.2034632034503634,0.012513528138477982,3.203463203463203,0.0
fixed_lambda,0.1,102.4,0.5,1024,3.203463203463201,0.0031283820346320323,3.203463203463203,0.0
fixed_lambda,0.1,409.6,0.5,4096,3.203463203463201,0.0007820955086580081,3.203463203463203,0.0
fixed_lambda,0.1,1638.4,0.5,16384,3.203463203463201,0.00019552387716450202,3.203463203463203,0.0
fixed_lambda,0.01,0.16,0.05,16,0.054524819923114975,0.003407801245194686,4.76064849627997,0.0
fixed_lambda,0.01,0.64,0.05,64,0.6663737864684975,0.010412090413570274,4.76064849627997,0.0
fixed_lambda,0.01,2.56,0.05,256,3.5158806009742705,0.013733908597555744,4.76064849627997,0.0
fixed_lambda,0.01,10.24,0.05,1024,4.759182810306314,0.004647639463189759,4.76064849627997,0.0
fixed_lambda,0.01,40.96,0.05,4096,4.76064849627997,0.001162267699287102,4.76064849627997,0.0
fixed_lambda,0.01,163.84,0.05,16384,4.76064849627997,0.0002905669248217755,4.76064849627997,0.0
fixed_lambda,0.01,0.16,0.5,16,0.5328641102838034,0.033304006892737714,33.2078628189042,0.0
fixed_lambda,0.01,0.64,0.5,64,6.098210077261562,0.09528453245721191,33.2078628189042,0.0
fixed_lambda,0.01,2.56,0.5,256,27.002606981605282,0.10547893352189563,33.2078628189042,0.0
fixed_lambda,0.01,10.24,0.5,1024,33.20453182406132,0.03242630060943488,33.2078628189042,0.0
fixed_lambda,0.01,40.96,0.5,4096,33.20786281890422,0.008107388383521538,33.2078628189042,0.0
fixed_lambda,0.01,163.84,0.5,16384,33.20786281890422,0.0020268470958803844,33.2078628189042,0.0
fixed_lambda,0.001,0.016,0.05,16,0.005942747123077297,0.00037142169519233104,47.61779699529927,0.0
fixed_lambda,0.001,0.064,0.05,64,0.09662558673487354,0.001509774792732399,47.61779699529927,0.0
fixed_lambda,0.001,0.256,0.05,256,1.3744554831183677,0.005368966730931124,47.61779699529927,0.0
fixed_lambda,0.001,1.024,0.05,1024,13.444185135121643,0.01312908704601723,47.61779699529927,0.0
fixed_lambda,0.001,4.096,0.05,4096,43.89583013377421,0.01071675540375347,47.61779699529927,0.0
fixed_lambda,0.001,16.384,0.05,16384,47.61775285973965,0.002906356986068094,47.61779699529927,0.0
fixed_lambda,0.001,0.016,0.5,16,0.059290423284179994,0.0037056514552612496,333.2082864407487,0.0
fixed_lambda,0.001,0.064,0.5,64,0.9571603538169882,0.01495563052839044,333.2082864407487,0.0
fixed_lambda,0.001,0.256,0.5,256,13.243803543521977,0.051733607591882724,333.2082864407487,0.0
fixed_lambda,0.001,1.024,0.5,1024,117.65591560828284,0.11489835508621371,333.2082864407487,0.0
fixed_lambda,0.001,4.096,0.5,4096,318.0381400959915,0.07764603029687292,333.2082864407487,0.0
fixed_lambda,0.001,16.384,0.5,16384,333.20821059451066,0.020337415197418864,333.2082864407487,0.0
lambda_c_over_T,0.015625,0.25,0.05,16,0.08074663305026242,0.005046664565641401,,0.0052782557851251966
lambda_c_over_T,0.00390625,0.25,0.05,64,0.3341590912927259,0.0052212358014488425,,0.0052782557851251966
lambda_c_over_T,0.0009765625,0.25,0.05,256,1.347598029617302,0.005264054803192586,,0.0052782557851251966
lambda_c_over_T,0.000244140625,0.25,0.05,1024,5.401301916101602,0.0052747089024429705,,0.0052782557851251966
lambda_c_over_T,6.103515625e-05,0.25,0.05,4096,21.616104548050316,0.005277369274426347,,0.0052782557851251966
lambda_c_over_T,1.52587890625e-05,0.25,0.05,16384,86.47531185062871,0.0052780341705706,,0.0052782557851251966
lambda_c_over_T,0.015625,0.25,0.5,16,0.7790864398381885,0.04869290248988678,,0.050901611156973114
lambda_c_over_T,0.00390625,0.25,0.5,64,3.222747702440749,0.050355432850636705,,0.050901611156973114
lambda_c_over_T,0.0009765625,0.25,0.5,256,12.995951912017517,0.05076543715631843,,0.050901611156973114
lambda_c_over_T,0.000244140625,0.25,0.5,1024,52.088412928621096,0.05086759075060654,,0.050901611156973114
lambda_c_over_T,6.103515625e-05,0.25,0.5,4096,208.45816831056663,0.05089310749769693,,0.050901611156973114
lambda_c_over_T,1.52587890625e-05,0.25,0.5,16384,833.9371676841129,0.05089948533228228,,0.050901611156973114
lambda_c_over_T,0.0625,1.0,0.05,16,0.20802805108780298,0.013001753192987686,,0.013013653220134147
