architecture,case,horizon,cell,mse,rmse,skill,ci95_low,ci95_high
fno,id_r256,1,A00,0.0002827376411952286,0.01681480422708598,0.9929609407783457,0.989674962448417,0.9956358048020186
fno,id_r256,1,A01,0.0002703922669529339,0.01644360869617536,0.9932682922156628,0.9899921293807556,0.9959379161377805
fno,id_r256,1,A10,29.97730144674217,5.475153098018554,-745.3173254787727,-849.837527842808,-658.266592546877
fno,id_r256,1,A11,0.0002037406689993076,0.014273775569179572,0.9949276557982059,0.9926554241700082,0.9967938088316314
fno,id_r256,1,R00,0.00024837546617553606,0.015759932302377953,0.9938164242715445,0.9907956176263638,0.9962584710601419
fno,id_r256,1,R01,0.00024108406115330244,0.015526881887658656,0.9939979516817032,0.9909924011112049,0.996430681619224
fno,id_r256,1,R10,25.83253010074611,5.0825712096089815,-642.1287622533458,-736.258956749755,-565.737950919251
fno,id_r256,1,R11,0.00017078382608588146,0.013068428600481446,0.9957481520294317,0.9937173813436577,0.9973895171256668
fno,id_r256,4,A00,0.00036739623786238574,0.019167582994795818,0.9991290699425224,0.9987282232557863,0.9994492887798021
fno,id_r256,4,A01,0.00034735902462747014,0.01863757024473604,0.9991765690986812,0.9987781166750889,0.9994963123038689
fno,id_r256,4,A10,26.048292397144508,5.103752775864492,-60.748701964486045,-80.08737004685425,-44.91590072926216
fno,id_r256,4,A11,0.00032101995649391545,0.017917029789948875,0.9992390070982017,0.9988581154372336,0.9995434959629088
fno,id_r256,4,R00,0.0003376585464107746,0.0183754876509652,0.9991995645384276,0.9988116993643971,0.9995104137416083
fno,id_r256,4,R01,0.00031929922916593806,0.01786894594445733,0.9992430861632443,0.9988574663961063,0.9995520855946971
fno,id_r256,4,R10,29.636536459953838,5.443944935426316,-69.25480324099578,-78.2534123353473,-61.93548377386223
fno,id_r256,4,R11,0.00029389274546285976,0.017143300308367106,0.9993033134275205,0.9989338644756336,0.9995960660294483
fno,id_r256,16,A00,0.0007885713168572938,0.028081512011593923,0.998495926402332,0.9979228701441188,0.9989607589057737
fno,id_r256,16,A01,0.0006439777905809865,0.02537671749027022,0.9987717154154712,0.9982599124331581,0.9991808795746371
fno,id_r256,16,A10,142.10669768364707,11.920851382499787,-270.0457855474396,-461.0988773998311,-112.7863388552614
fno,id_r256,16,A11,0.0005876881385072333,0.024242279977494553,0.998879078919185,0.9983874368750472,0.9992701727949257
fno,id_r256,16,R00,0.0006228005098632183,0.024955971426959486,0.9988121076895966,0.9983685412468287,0.9991695092805544
fno,id_r256,16,R01,0.0004911531728709243,0.02216197583409305,0.9990632039183595,0.9986503384975854,0.9993943913631953
fno,id_r256,16,R10,139.1510616302232,11.796230823030855,-264.4083827441177,-310.3764806883322,-227.81767019869372
fno,id_r256,16,R11,0.00042075763670448434,0.020512377646301375,0.9991974721387198,0.9988425046563439,0.9994858071415827
fno,id_r256,31,A00,0.0016808577946608107,0.04099826575186822,0.9971572497262051,0.9961531150597802,0.997991924878411
fno,id_r256,31,A01,0.0011992228116067456,0.03462979658627445,0.9979718147562125,0.997212294040768,0.9986006498209966
fno,id_r256,31,A10,923.7620080253429,30.393453374457845,-1561.3122369880698,-3719.640358611407,-325.82801593917554
fno,id_r256,31,A11,0.0011604457138984046,0.03406531540876151,0.9980373965118361,0.9969757937341603,0.9987481890990269
fno,id_r256,31,R00,0.0012038468303827814,0.03469649593810276,0.9979639943857544,0.9973429586676767,0.9984898939259323
fno,id_r256,31,R01,0.0007808087977963914,0.027942956139184547,0.998679457339718,0.9981873915274607,0.9990830671744935
fno,id_r256,31,R10,586.7361766485434,24.222637689742697,-991.3173941966933,-1307.7027560079678,-744.2794785229563
fno,id_r256,31,R11,0.0006422588952672653,0.02534282729427136,0.9989137798235117,0.9985275093980625,0.9992354405264927
fno,ood_r512,1,A00,0.00037744021095957207,0.019427820540646654,0.9906131036060418,0.987328307382826,0.9932848137501411
fno,ood_r512,1,A01,0.0003527307697987568,0.018781128022532532,0.9912276246808883,0.9879577062863629,0.9938628026191748
fno,ood_r512,1,A10,30.230526355334455,5.498229383659294,-750.8298543520652,-856.1567719130786,-663.1528003331453
fno,ood_r512,1,A11,0.00036438827778702986,0.019088956959117224,0.9909377037436902,0.9886743256118201,0.9927619552502083
fno,ood_r512,1,R00,0.0003487169185045537,0.018673963652758717,0.9913274487196245,0.9882951110906498,0.9937445464152502
fno,ood_r512,1,R01,0.000334491769634289,0.018289116152353808,0.9916812266022045,0.9886501477670708,0.9940831889640543
fno,ood_r512,1,R10,26.01464229742156,5.100455106892086,-645.9812830777997,-740.7101994524576,-569.0666412700032
fno,ood_r512,1,R11,0.0003501873275037731,0.01871329280227756,0.9912908798100817,0.9892942945217083,0.9929044167380776
fno,ood_r512,4,A00,0.0005428944577724324,0.023300095660156256,0.9987138374410335,0.9983153613692817,0.9990294501014387
fno,ood_r512,4,A01,0.0005051933730154236,0.022476507135572102,0.9988031544766979,0.9984106754155057,0.9991157250343751
fno,ood_r512,4,A10,26.439102065685322,5.141896738139081,-61.63645296565929,-81.31371989064677,-45.53315664384129
fno,ood_r512,4,A11,0.0005141431301362273,0.022674724477625464,0.9987819517505403,0.9984081710883463,0.9990793434003913
fno,ood_r512,4,R00,0.0005267538791080555,0.022951119343248935,0.998752075827263,0.9983622211895689,0.9990562789516029
fno,ood_r512,4,R01,0.0004921016903990081,0.022183365173007636,0.9988341697721647,0.9984472613234712,0.9991353764876594
fno,ood_r512,4,R10,29.799406139985237,5.458883231942705,-69.59729549265924,-78.64831269878695,-62.242337564339664
fno,ood_r512,4,R11,0.000494856387510243,0.02224536777646625,0.9988276436633878,0.9984662495312157,0.9991125629752907
fno,ood_r512,16,A00,0.0014033979497681953,0.037461953362954735,0.9973241876862193,0.9967663105173941,0.9977957471938048
fno,ood_r512,16,A01,0.0011481796907214354,0.03388480029041687,0.9978108038740026,0.9973199170527312,0.9982134038084167
fno,ood_r512,16,A10,147.40727487426707,12.141139768335883,-280.05656083832775,-479.00674307883963,-115.64383488663273
fno,ood_r512,16,A11,0.0011559309808411786,0.033998984997219824,0.9977960247462765,0.9972657077895871,0.9982227114056436
fno,ood_r512,16,R00,0.0012962523402228567,0.03600350455473546,0.9975284786654361,0.9970372825515289,0.9979343283413098
fno,ood_r512,16,R01,0.001038248626670326,0.03222186566091923,0.9980204057869194,0.9975969306453817,0.9983714422654661
fno,ood_r512,16,R10,139.6705405618138,11.81822916353435,-265.30518618715985,-311.55939898212597,-228.54013324877604
fno,ood_r512,16,R11,0.0009185586338543929,0.030307732245326322,0.9982486147255645,0.9978702612938986,0.9985608947712136
fno,ood_r512,31,A00,0.002820530471124941,0.05310866662913823,0.9952317089327426,0.9942311377681444,0.99611333212876
fno,ood_r512,31,A01,0.0019698492293630174,0.04438298355634755,0.9966698411591812,0.9959434767452716,0.9972763175701567
fno,ood_r512,31,A10,986.7237405446099,31.41215911943351,-1667.1209602437477,-4030.577962748682,-331.78395586966775
fno,ood_r512,31,A11,0.00203840181333054,0.04514866347225065,0.9965539485364578,0.9953801292488172,0.997374762052679
fno,ood_r512,31,R00,0.0024088446064536645,0.049079981728334665,0.9959276907883278,0.9951057977011588,0.9966171658365748
fno,ood_r512,31,R01,0.001574173878907181,0.03967586015333733,0.997338756194288,0.996816310832934,0.9977844882143789
fno,ood_r512,31,R10,590.0070587379277,24.29006090436843,-996.445486443128,-1316.0202046453758,-746.7162994229562
fno,ood_r512,31,R11,0.0012920247606608406,0.035944745939578436,0.9978157477155433,0.9973842631901932,0.9981827609209825
fno,ood_r1024,1,A00,0.0005284872709509656,0.022988851014153915,0.9868600490758314,0.9835802867881275,0.9895176492809965
fno,ood_r1024,1,A01,0.00048674496402692453,0.022062297342455624,0.9878979016308352,0.9846623652257716,0.9905021274650853
fno,ood_r1024,1,A10,30.358584121742695,5.509862441272259,-753.8153520692017,-859.5132916166374,-665.7974418007069
fno,ood_r1024,1,A11,0.0005953596669196261,0.02439999317458155,0.9851973789425874,0.9828353930785312,0.9872233480173527
fno,ood_r1024,1,R00,0.0005077815754472186,0.02253400930698349,0.9873748615182965,0.9843329136157098,0.9898353587643662
fno,ood_r1024,1,R01,0.00048188056009151073,0.021951778062186917,0.9880188468881763,0.9850248668200673,0.9904222357895425
fno,ood_r1024,1,R10,26.106175133957567,5.1094202346212985,-648.086324180894,-743.1298733902511,-570.8929969026811
fno,ood_r1024,1,R11,0.0006083681206521835,0.024665119514248934,0.9848739455260407,0.9827732375676599,0.9867076400343977
fno,ood_r1024,4,A00,0.0008156294675516213,0.028559227362651485,0.9980680036918438,0.9976730991397939,0.9983862721619613
fno,ood_r1024,4,A01,0.0007540975275750696,0.02746083625046895,0.998213755513716,0.9978227386521696,0.9985208445033736
fno,ood_r1024,4,A10,26.63751874017455,5.16115478746516,-62.096773610870024,-81.96220406204822,-45.854697799212516
fno,ood_r1024,4,A11,0.0007827874439833915,0.027978338835309566,0.9981457971885361,0.9977721809351126,0.9984449739849377
fno,ood_r1024,4,R00,0.000811047178017049,0.028478890041872224,0.9980788578441468,0.9976840150968712,0.998390663639423
fno,ood_r1024,4,R01,0.0007505538708988138,0.02739623826182737,0.998222149437536,0.9978371067064183,0.9985234991457004
fno,ood_r1024,4,R10,29.880562615628936,5.466311609817806,-69.77863043903807,-78.85643947670341,-62.40527169168947
fno,ood_r1024,4,R11,0.0007764258100120176,0.027864418350506036,0.9981608661062684,0.997799125842628,0.9984481071640297
fno,ood_r1024,16,A00,0.00227870439869117,0.047735776925605496,0.995655653676726,0.99496081410928,0.9962573037593606
fno,ood_r1024,16,A01,0.0018786658936056574,0.04334357961227542,0.9964183264524201,0.9958413914124598,0.9969125908447348
fno,ood_r1024,16,A10,150.07503964518708,12.250511811560653,-285.1178251432036,-488.33428476103165,-117.34453508331434
fno,ood_r1024,16,A11,0.0019089553595789419,0.04369159369465644,0.9963605796335653,0.9957175608224441,0.9968935314876315
fno,ood_r1024,16,R00,0.002208364475369908,0.04699323861333573,0.9957897566290157,0.9951469284036988,0.9963412731877217
fno,ood_r1024,16,R01,0.001789722527872654,0.042305112313674974,0.9965878968381726,0.9960597416510713,0.9970376733516019
fno,ood_r1024,16,R10,139.94003503951797,11.829625312727279,-265.7954549313001,-312.21222527800427,-228.93811460290448
fno,ood_r1024,16,R11,0.0016136454134716034,0.040170205544303644,0.9969235875776121,0.9964231507958985,0.9973467370741014
fno,ood_r1024,31,A00,0.0043713694523943945,0.06611633272039817,0.9926106625201312,0.9913706927338362,0.9937099248915477
